labels,text
entertainment,"ডাক্তারি থেকে অভিনয়, কেমন জীবন ছিল ‘মেড ইন হেভেন ২’-এর রূপান্তরকামী মেহেরের?"
kolkata,বেরিয়ে থাকা অঙ্গ শরীরে ঢুকিয়ে নতুন জীবন
kolkata,"তাপমাত্রা স্বাভাবিকের নীচে, সকালে কলকাতার আকাশে দেখা যাবে কুয়াশা"
lifestyle,অ্যালবুমিনের গুরুত্ব
international,প্রথম ভাষণে যা বললেন ব্রিটেনের নতুন প্রধানমন্ত্রী ঋষি
politics,"‘জেতাই লক্ষ্য, মুখ্যমন্ত্রী পদ গুরুত্বপূর্ণ নয়,পরবর্তীতে কী হবে কে জানে’! গেহলট গুগলিতেও পাইলটের ঝোড়ো ব্যাটিং"
kolkata,"পুরভবনে বৈঠক, ডেঙ্গি সামলাতে কলকাতায় চালু হবে ‘ফিভার ক্যাম্প’"
sports,"শুভমনে মোহিত গুজরাত! ফাইনালে ধোনির চেন্নাইয়ের সামনে হার্দিক, রশিদরা, স্বপ্নভঙ্গ রোহিতদের"
state,মহানগরের শ্রমজীবীরা
national,"Bhagwant Man: বৃহস্পতিবার বিয়ে পাঞ্জাবের মুখ্যমন্ত্রীর, অনাড়ম্বর অনুষ্ঠানে হাজির থাকবেন কেজরিওয়াল!"
national,ধোঁকাবাজির অভিযোগ ওঠায় এশিয়ার শীর্ষ ধনী গৌতম আদানির ব্যবসা টালমাটাল
sports,"ছেলেদের ব্যর্থতার মাঝে মুখরক্ষা মেয়েদের, কন্যাশ্রী কাপে চ্যাম্পিয়ন ইস্টবেঙ্গল"
editorial,চিঠি আদান-প্রদান আজ ইতিহাস
international,'শেষ বল পর্যন্ত লড়াই চালিয়ে যাবো'
international,ফিলিপাইনে নতুন প্রেসিডেন্টের শপথ আজ
editorial,"আলিয়া, মাধুকরী হও নয়নমোহিনী, স্বপ্নের কাছাকাছি…"
state,তৃণমূলের মতো ভেঙেছে বিজেপি’র সাজানো ‘গড়’
state,"‘মরে গেলে দায়িত্ব নেব’,  চিকিৎসায় না, মারে অসুস্থ চাকরিপ্রার্থী সম্পর্কে বললেন পুলিশ কর্তা"
international,"ইউক্রেনে ভাঙল জলাধার, ক্ষতিগ্রস্ত কয়েক লক্ষ মানুষ"
international,রাশিয়া-চীনের আপত্তিতে হলো না যৌথ ঘোষণা
entertainment,"শেষ যাত্রায় ঐন্দ্রিলা শর্মা, শেষ বার দেখতে হাসপাতালে অনুরাগীদের ভিড়"
lifestyle,‘নিখুঁত’ নাকের অস্ত্রোপচারের ৩ লক্ষ টাকার জন্য সদ্যোজাতকে বিক্রি! ধৃত অভিযুক্ত মা
editorial,শি-র নেতৃত্বে শক্ত হল অতি-জাতীয়তাবাদ ও কর্তৃত্ববাদের গাঁটছড়া
politics,১৭ আগস্ট বিক্ষোভ কর্মসূচি পালন করবে আওয়ামী লীগ
politics,"নিরঙ্কুশ সংখ্যাগরিষ্ঠতা নেই সাংমার দলের, ত্রিশঙ্কুর শঙ্কা কাটাতে শাহর কাছে দরবার"
kolkata,"পুজোর মুখে স্বস্তি তৃণমূলের, সুপ্রিম কোর্টে খারিজ সম্পত্তি মামলায় ইডিকে পার্টি করার  হাই কোর্টের নির্দেশ"
politics,"সাসপেন্স বাড়ছে সংসদের বিশেষ অধিবেশন নিয়ে, বড় খেলার ছক বিজেপির, অন্ধকারে অনেক শীর্ষ নেতাও"
international,ব্রিটিশ নিরাপত্তার জালে আটক রাশিয়ার তিন সন্দেহভাজন গুপ্তচর
kolkata,দক্ষিণ দমদমে বেড়েই চলেছে সংক্রমণ
international,"মুম্বাইয়ে বহুতল ভবনে আগুন, ৭ জনের প্রাণহানী"
lifestyle,"শুধু বিশেষ দিনে নয়, সারা বছরই ঠাকুরঘরে থাকুক উৎসবের ছোঁয়া, কেমন করে সাজাবেন?"
sports,"বিতর্কিত পেনাল্টি থেকে সুনীলের গোল, বেঙ্গালুরুর বিরুদ্ধে হেরে ফিরছে ইস্টবেঙ্গল"
international,"মণিপুরে বাড়ছে উত্তেজনা, ফের ৩ জনের মৃত্যু"
state,"সামনে পঞ্চায়েত ভোট, গ্রামীণ সড়ক যোজনায় অর্থবরাদ্দ কেন্দ্রের  দুর্নীতির বিরুদ্ধে কী ব্যবস্থা? সেলিম"
kolkata,প্রতিবন্ধকতাকে হারিয়ে দুনিয়া জয়ের স্বপ্ন ব্রজ কিশোর-রোমির চোখে
technology,"সেরা রিচার্জ প্ল্যান আনল Jio, পিছিয়ে নেই Airtel-Vodafone-idea জেনে নিন সেরা অফার"
technology,"WhatsApp-এর নয়া আপডেট, একাধিক স্মার্ট ফোনে ব্যবহার করা যাবে একটিই অ্যাকাউন্ট"
sports,"বুধবার সুনীলদের বিরুদ্ধে ম্যাচ, নামার আগে ছেত্রীর বেঙ্গালুরুতেই মজে ইস্টবেঙ্গল কোচ"
state,"আদালতে বাতিল চাকরি, নির্দেশিকা পায়নি বিধায়ক-কন্যার স্কুল"
lifestyle,"একে অপরের ভাষা জানেন না, গুগল ট্রান্সলেটর ব্যবহার করেই চার হাত এক যুগলের"
kolkata,পাঁচ-ছয় ঘণ্টার পথ পেরিয়ে শিশুকে নিয়েই ধর্না মঞ্চে মা
entertainment,"‘কিচ্ছু চাইনি আমি..’ স্পষ্ট বাংলা উচ্চারণে গান ধরলেন চ্যাং, সুরে মজলেন সৃজিত থেকে আবির"
editorial,বলিউডে তৈরি হচ্ছে প্রতিবাদের নতুন স্বর
lifestyle,মিলবে ‘সাঁওতাল রমণীর উদ্দাম যৌবনের ছোঁয়া’! পর্যটন সংস্থার ভাইরাল বিজ্ঞাপনের সত্যাসত্য
international,পাকিস্তানে সুপ্রিম কোর্টের হাতে ইমরানের ভাগ্য
national,কেরালার প্রথম ট্রান্সজেন্ডার আইনজীবী পদ্মা লক্ষ্মী
entertainment,কেউ নিলেন ১০০ কোটি তো কেউ টাকাই নিলেন না! ‘পাঠান’ থেকে কত উপার্জন করলেন শাহরুখ-দীপিকারা?
kolkata,চিংড়িঘাটা মোড়ে এ বার তৈরি হবে আন্ডারপাস
editorial,"মানুষের দেশ, অন্য এক ‘পাইলট প্রজেক্ট’!"
entertainment,গোপন ভিডিয়ো ফাঁস হওয়ার আগে রাজের সঙ্গে কী কথা হয়েছিল পরীমণির?
technology,"Citroen C3 Aircross SUV-র দাম প্রকাশ করল কোম্পানি,১০ লাখে সেবেন সিটার ?"
editorial,শপথ ও বিপথ
state,দায়িত্ব নিলেন অশ্বিন শেনভি
state,‘মাতৃভাষা হরে যদি আর কি মোদের থাকে রে’
entertainment,হলে দর্শক ফেরানোর মতো চলচ্চিত্র বানাতে হবে: প্রধানমন্ত্রী
international,মার্কিন মুলুকে কাজ খুইয়ে বিপন্ন হাজার হাজার দক্ষ ভারতীয় কর্মী
politics,"কর্ণফুলী আ,লীগের সম্মেলনে দাওয়াত পায়নি ৪ চেয়ারম্যান"
technology,"চাঁদের আরও কাছে চন্দ্রযান- ৩, দেখুন অ্যাডভেঞ্চারের প্রথম ঝলক"
international,আটলান্টিক মহাসাগরে তন্ন তন্ন করে খোঁজ  চলছে হারিয়ে যাওয়া ডুবোজাহাজের
lifestyle,"চার মাসে মাত্র এক বার বিছানার চাদর কাচেন অবিবাহিত পুরুষরা,  দাবি সাম্প্রতিক সমীক্ষায়"
politics,পাকিস্তানে আবার গ্রেফতারের আশংকায় ইমরান খান
national,সুপ্রিম কোর্টের নির্দেশে অবশেষে সুরক্ষা পেল ৭ অভিযোগকারী কুস্তিগির
lifestyle,শাড়ি পরতে ভালবাসেন?  আলমারিতে রাখতেই হবে এই  ৫ রাজ্যের শাড়ি
editorial,গৃহশ্রমের মূল্য
kolkata,"ডেঙ্গির বর্তমান স্ট্রেনে ঝুঁকি কম, মত ডাক্তারদের"
sports,"বিশ্বকাপে বাবরদের ভারতে খেলতে আসায় এখনও ধোঁয়াশা, উচ্চ পর্যায়ের কমিটি পাক প্রধানমন্ত্রীর"
entertainment,বিশেষ একটি শর্ত পূরণ হলে পর্দায় সং সাজতেও রাজি আলিয়া! কী সেই শর্ত? জানালেন অভিনেত্রী
technology,গাড়ির মালিক? অভিনব ফাস্ট্যাগ জালিয়াতি থেকে সাবধান
lifestyle,সৌন্দর্যের সংজ্ঞায় কী ভাবে জুড়ে যাচ্ছে দাঁত? কী কী পরিবর্তন আনা যায় দাঁতের গঠনে?
kolkata,নিয়োগ দুর্নীতির দুই ‘মিডলম্যান’কে গ্রুপ সি মামলাতেও জেলে জিজ্ঞাসাবাদ করার আবেদন সিবিআইয়ের
state,শিক্ষক বদলির নতুন নিয়ম নিয়ে প্রশ্ন তুলছে শিক্ষক মহল
international,সাংবাদিকতা রক্ষা আইন নিয়ে আপত্তি ফেসবুকের
international,পুতিনের অধীনে যেভাবে রুশ কূটনীতির মৃত্যু ঘটেছে
kolkata,"ইংরেজি মাধ্যমেও পড়ানো চলছে সরকারি স্কুলে, বাড়ছে পড়ুয়া"
editorial,লোকধর্ম কিন্তু বাংলার গভীরে
editorial,সম্পাদক সমীপেষু: মৌলবাদ ও স্বাধীনতা
lifestyle,ডায়াবিটিসে ভুগছেন? কী ধরনের খাবার খেতে পারেন সকালের জলখাবারে
lifestyle,খুদে কথায় কথায় মিথ্যা কথা বলছে? বকুনি কিংবা মারধর ছাড়াই ওর স্বভাবে বদল আনবেন কী ভাবে?
technology,আগামীদিনে পপ্ আপ ক্যামেরার ফোন আনতে চলেছে স্যামসাং
technology,তিন হাজার কোটির ক্ষেপণাস্ত্র! অনুমোদন প্রতিরক্ষা মন্ত্রকের
lifestyle,মহিলাদের বাড়তে থাকা হৃদ‌্‌রোগের নেপথ্যে কি অনিয়মিত ঋতুচক্রের হাত রয়েছে?
editorial,"দেবালয় পুড়ছে, মণিপুরে পুড়ছে জনপদও, এই হিংসার শেষ কোথায়?"
kolkata,"অভিষেক কোহিনুর, আমি পোষ্য, পার্থ শিখিয়ে দিয়েছে কী ভাবে শৃঙ্খলা রক্ষা করতে হবে: মদন"
international,সাবেক জাতিসংঘ শান্তিরক্ষী জেনারেল চিয়ানি যিনি নিজেরে অভ্যুত্থান ঘটালেন
kolkata,শিক্ষক ও শিক্ষাকর্মী নিয়োগে বেনজির দুর্নীতি তৃণমূলের
sports,"অপরিচ্ছন্ন, অস্বাস্থ্যকর হোটেল, প্রতিবাদ জাতীয় খেলোয়াড়দের, চাপে বিকল্প ব্যবস্থা কর্তাদের"
national,আজ অনলাইনে মোদী-মমতা বৈঠক
international,"একদিনে বেড়েছে মৃত্যু, শনাক্ত ৭ লাখের বেশি"
national,সাম্প্রদায়িক হিংসার মুখ কপিল মিশ্র এবার দিল্লিতে বিজেপি’র সহসভাপতি
national,মোদীর বিরোধী পোস্টার লাগানোর জন্য দিল্লির পর আহমেদাবাদে গ্রেপ্তার আট
politics,"কাশ্মীরের প্রচার কমিটির পদ অস্বীকার, গুলাম নবি আজাদের সিদ্ধান্তে মুখ পুড়ল কংগ্রেসের"
editorial,দিল্লি ডায়েরি
technology,"গুগল হোম: ভয়েস অ্যাসিসটেন্ট স্পীকার, জেনে নিন এটি অন্য স্পীকারের চেয়ে কতখানি আলাদা"
lifestyle,গ্রীষ্মে ঘামের দাপটে হাতকাটা জামায় অস্বস্তি? রইল সমাধানের ৫ উপায়
kolkata,যাদবপুরকাণ্ডে কী কী তথ্য লুকিয়ে ধৃতদের ফোনে? ফরেন্সিক ল্যাবে পাঠানো হল তিন জনেরই মোবাইল
kolkata,পর্ষদের সামনে বিক্ষোভরত টেট-উত্তীর্ণ চাকরিপ্রার্থীদের কয়েক জন অসুস্থ! তবু অবস্থানে অনড় সহযোদ্ধারা
politics,"‘বিএনপি দ্রব্যমূল্য নিয়ন্ত্রণ করছে, এমন কথা হাস্যকর’"
editorial,ভাতঘুমের পর
politics,কে ধরবেন দলের হাল! কংগ্রেসের কাছে কতটা গ্রহণযোগ্যতা গেহলট আর থারুরের?
editorial,ভারতের সঙ্গে আলোচনায় পাকিস্তানের গরজ বেশি
entertainment,"পোস্ত-ভাত খেয়ে ঘুম দিতে ভালবাসি, তাই বার বার বাঙালিদের সঙ্গে কাজ করি: পঙ্কজ ত্রিপাঠী"
technology,"৩ মাস ধরে চলবে Jio’র ৫টি প্ল্যান, জেনে নিন প্ল্যানগুলি সম্পর্কে"
international,বিশ্বে প্রথম এইচআইভি থেকে সুস্থ হলো নারী
kolkata,বিতর্ক এড়িয়ে র‌্যাগিং নিয়ে যাদবপুরের অভ্যন্তরীণ কমিটির রিপোর্টই দেখবে অ্যান্টি র‌্যাগিং স্কোয়াড
national,"বিদ্যুৎ বিচ্ছিন্ন, জেএনইউ-তে মোবাইল-ল্যাপটপে বিবিসি’র তথ্যচিত্র দেখলেন ছাত্ররা"
state,"ভিডিও: স্বপ্ন হত্যায় শাস্তি চেয়ে মিছিল, সমাবেশ শুরু যাদবপুরে"
editorial,গোলাপি বলে আজ ইতিহাস লেখা হবে ইডেন গার্ডেন্সে
state,খেলতে গিয়ে বোমা ফেটে জখম ২শিশু
editorial,সম্পাদকীয়: কোয়ান্টাম বিজ্ঞানে নয়া বিপ্লব
politics,"‘হানিমুন শেষ হওয়ার আগেই’…, অজিত পাওয়ারকে কটাক্ষ সুপ্রিয়া সুলের"
lifestyle,"কী ভাবে সানস্ক্রিন মাখলে রোদের হাত থেকে ত্বক সুরক্ষিত থাকবে, কৌশল জানালেন আলিয়া ভট্ট"
national,ভারতে কুস্তিগিরদের যৌন হেনস্থা মামলা বন্ধের নির্দেশ সুপ্রিম কোর্টের
politics,"ড্যাব নেতা আবদুর রহমান সৎ, বিনয়ী ও মেধাবী ডাক্তার ছিলেন"
sports,"দেশে ফিরছেন না সাকিব, খেলবেন তৃতীয় ওয়ানডে"
entertainment,না ফেরার দেশে সংগীত পরিচালক ফরিদ আহমেদ
lifestyle,"ঘুম ভেঙ্গে জিমে ছুটতে হবে না, রান্নাঘরেই হবে শরীরচর্চা, কেমন ভাবে  করবেন? রইল তার ভিডিয়ো"
editorial,‘আপ ক্রোনোলজি সমঝিয়ে’
kolkata,"দুর্নীতি সহ্য নয়, সবুজায়নে শ্বেতপত্রের ঘোষণা মেয়রের"
editorial,প্রতিষ্ঠানের উপর আস্থা নেই বলেই এই ভোটার সমাজ এমন সন্ত্রস্ত
technology,"Jio Banned 827 Porn Site: জিও গ্রাহকরা দেখতে পারবেন না পর্ন সাইট, খবর রটতেই মিমের ঢল সোশাল নেটওয়ার্কে"
national,এএসআইয়ের বৈঞ্জানিক সমীক্ষায় স্থগিতাদেশ সুপ্রিম কোর্টের
state,"কমিশনের হিসেব অস্পষ্ট, স্পষ্ট বাম-সহযোগীদের এগোনোর আভাস"
entertainment,"তিনি যখন খলনায়ক, শাহরুখের ছয় অবতার"
international,"ভারতে চলন্ত ট্রেনে ভয়াবহ অগ্নিকাণ্ড, নিহত ৮"
editorial,পাল্টে দেওয়ার স্বপ্ন
kolkata,জামিন ‘নিশ্চিত’! আইনের ফাঁক গলেই কি বাজির বেআইনি ব্যবসা? এগরাকাণ্ডের পর উঠছে প্রশ্ন
kolkata,ফুটপাতে ছবি আঁকে কলকাতার যীশু ওয়াসিম
sports,২০৩১ বিশ্বকাপের আয়োজক বাংলাদেশ
kolkata,"মুখ্যমন্ত্রীর কাছে যেতে বাধা, পথেই প্রতিবাদ মাদ্রাসা চাকরিপ্রার্থীদের"
state,মন্ত্রী-বিধায়কের এলাকাতেই  ভেঙে পড়েছে গর্বের চার স্তম্ভ
national,নির্বাচনী জালিয়াতির অভিযোগে কর্ণাটকের মুখ্যমন্ত্রীর পদত্যাগ দাবি কংগ্রেসের
national,মেসেজ টু কমিশনারে’ সরাসরি অভিযোগ জানানো যাবে
politics,"মহিলা সংরক্ষণ বিল! সবক্ষেত্রেই এক-তৃতীয়াংশ সংরক্ষণ, জটিল বিষয় জানুন সহজে"
technology,"Google AI: গুগলের সার্চ টুলে জেনারেটিভ এআই, হিন্দি এবং ইংরেজিতে ব্যবহারের সুযোগ ভারতে, ফিচার চালু জাপানেও"
kolkata,ভবানীপুরে জোড়া খুনে গুলি চালিয়েছিল সন্তোষ
international,"ইউক্রেনের রেল স্টেশনে রকেট হামলা, নিহত ২২"
state,গ্রেপ্তার কলকাতা টিভির কর্ণধার
lifestyle,অল্পবয়সিদের শরীরেও জাঁকিয়ে বসতে পারে আর্থরাইটিসের সমস্যা! কোন উপসর্গ দেখলেই সতর্ক হবেন?
entertainment,"এই ঝগড়া, এই প্রেম! রিয়্যালিটি শো-র সেটে সবই কি সত্যি? মুখ খুললেন প্রাক্তন প্রতিযোগী"
lifestyle,"বাদুড়ের মতো দেহ, স্বচ্ছ রক্তজালিকা, কোন  প্রাণী ধরা পড়ল বিজ্ঞানীদের ক্যামেরায়?"
state,অভিষেকের নামে কুন্তল তুলেছেন ৫০০ কোটি!
kolkata,"এসএসকেএম হাসপাতালে সর্ট-সার্কিট থেকে আগুন, আতঙ্কে রোগীরা"
technology,রেডমির সঙ্গে টেক্কা দিয়ে ব্যাবসা করতে পারছে না স্যামসাং
sports,ভারতে এসে কেন হারতে হয়েছিল? টেস্ট বিশ্বকাপ ফাইনালের আগে জানালেন অসি স্পিনার
politics,"‘আমি হাতজোড় করে বলছি, আন্দোলনটাকে দুর্বল কর না,’ ববিতাকে অনুরোধ ভিনেশের"
lifestyle,"সাধারণ শৌচালয়ে মূত্রত্যাগ করলে কি সংক্রমণ ছড়াতে পারে দেহে? কী করবেন, কী করবেন না?"
technology,"Twitter Logo Change: সরবে 'পাখি', লোগো বদলে যাবে ট্যুইটারের! আর কী বললেন মাস্ক?"
politics,‘খালেদা জিয়াকে এভারকেয়ার হাসপাতালে বন্দি করে রাখা হয়েছে’
kolkata,কল সেন্টার প্রতারণায় গ্রেফতার দুই চাঁই
sports,"মোহনবাগান ছাড়া আরও তিন দল জিততে পারে আইএসএল, কাদের নাম বললেন সবুজ-মেরুন কোচ"
technology,বড়দিনে নতুন স্টিকারে সাজল হোয়াটসঅ্যাপ
editorial,অবসাদ-প্রসঙ্গ ঢাকতে গিয়ে সুশান্ত-রিয়া দু’জনেই বলির পাঁঠা
lifestyle,পছন্দের নারী কি ভাল  লাগার ইঙ্গিত দিচ্ছেন? প্রেম দিবসের আগেই মন  জয় করবেন কী করে?
state,"ডালখোলার পর ইসলামপুর, উত্তর দিনাজপুরে ফের শ্যুটআউট!"
technology,হোয়াটস্অ্যাপের ভিডিও কলই হ্যাক করার মোক্ষম সময়
national,বিধানসভায় বসেই পর্নোগ্রাফি দেখার ভিডিও ভাইরাল বিজেপি বিধায়কের!
technology,বিভ্রাটের কারণ হিসাবে ‘কনফিগারেশনের পরিবর্তনকেই’ দায়ী করল Facebook
lifestyle,"পেশাগত প্রয়োজন না কি অন্য কোনও কারণ, মিয়া খলিফার রোগা হওয়ার নেপথ্যের রহস্য কী?"
national,জাতীয় কন্যাশিশু দিবস আজ
lifestyle,সমস্ত বিষয় নিয়েই মানসিক উদ্বেগে ভোগেন? সমাধান বলে দিলেন মনোবিদ
politics,৬০ পৌরসভায় শান্তিপূর্ণ ভোট হয়েছে: ইসি সচিব
national,প্রথমবার বাজপেয়ী স্মরণে আমন্ত্রণ পেল এনডিএ
kolkata,দুর্গার চাপে কুমোরটুলিতে জমি হারালেন বিশ্বকর্মা
politics,সারাদেশে বিএনপির গণঅনশন ২০ নভেম্বর
kolkata,রোমানিয়ার বিশ্ববিদ্যালয়ের সঙ্গে ‘মউ’ স্বাক্ষর কলকাতা বিশ্ববিদ্যালয়ের
kolkata,"কামড়কাণ্ডে মানবাধিকার কমিশনের দফতরে সেই অরুণিমা, পাঁচ মাসেও বিচার পাইনি, দাবি তাঁর"
politics,"মমতার মতবদলের জন্য যথেষ্ট সময় আছে, তৃণমূল সুপ্রিমোকে বার্তা মার্গারেট আলভার"
technology,"দিনের সেরা প্রযুক্তির খবর: গুগল ম্যাপে অমিতাভ বচ্চনের কন্ঠস্বর, গুগল সিইওর অজানা জীবন কাহিনি"
technology,"করোনা যুদ্ধে ভারতের পাশে Google, ১৩৫ কোটি টাকা সাহায্যের আশ্বাস"
entertainment,উরফির পোশাকগুলো কেমন? জবাবে যা বললেন রণবীর কপূর
entertainment,"বিয়ের পিঁড়িতে ‘প্যার কা পঞ্চনামা’ খ্যাত অভিনেত্রী সোনালি, কলকাতার কন্যের পাত্র কে?"
editorial,অনুদানও বদলায় জীবন
national,ঢাকা শহরের ট্রাফিক ব্যবস্থাপনা অত্যন্ত চ্যালেঞ্জিং : ডিএমপি কমিশনার
technology,"Motorola Folding Flip: মোটোরোলার নতুন ফোল্ডিং ফোনের লঞ্চডেট ঘোষণা, জেনে নিন সম্ভাব্য বৈশিষ্ট্য"
sports,ওয়েস্ট ইন্ডিজ়ের বিরুদ্ধে সমতা ফিরিয়ে প্রথম দুই ম্যাচের হারকে ধন্যবাদ দিচ্ছেন হার্দিক
